compound,flashpoint
"9-Octadecenamide, N,N-bis(2-hydroxyethyl)-, (9Z)-",271.7
9octadecenoicAcid189oC,189
Acenaphthalene118oC,118
Acetaldehyde75070,-27
Acetaldoxime,35.85
"Acetamide, 2-((1,2-dihydro-5,6,17,19,21-pentahydroxy-23-methoxy-2,4,12",514.7
"Acetamide, 2-(2,4-dichlorophenoxy)-",196.9
"Acetamide, 2-(diethylamino)-N-(2,6-dimethylphenyl)-",166
"Acetamide, 2,2'-((2-hydroxyethyl)imino)bis(N-(alpha,alpha-dimethylphen",335.1
"Acetamide, 2,2-dichloro-",104.3
"Acetamide, 2,2-dichloro-N-(2-hydroxy-1-(hydroxymethyl)-2-(4-nitropheny",343.8
"Acetamide, 2,2-dichloro-N-(2-hydroxyethyl)-N-(p-(methylsulfonyl)benzyl",281.5
"Acetamide, 2,2-dichloro-N-(2-hydroxyethyl)-N-(p-(p-nitrophenoxy)benzyl",286.6
"Acetamide, 2-chloro-",108.6
"Acetamide, 2-chloro-N-(1-methylethyl)-N-phenyl-",129.4
"Acetamide, 2-chloro-N-(2,6-diethylphenyl)-",177.1
"Acetamide, 2-chloro-N-(2-ethyl-6-methylphenyl)-N-(2-methoxy-1-methylet",359.6
"Acetamide, 2-chloro-N,N-di-2-propenyl-",99.8
"Acetamide, 2-chloro-N,N-diethyl-",77
"Acetamide, 2-fluoro-",110.4
"Acetamide, 2-fluoro-N-isobutyl-",94.5
"Acetamide, 2-fluoro-N-methyl-N-1-naphthalenyl- (9CI)",163.5
"Acetamide, 2-fluoro-N-phenyl- (9CI)",145.1
"Acetamide, 2-iodo-",133.5
"Acetamide, 2-phenoxy-",200.9
"Acetamide, N-(1,1a,3,3a,4,5,5,5a,5b,6-decachlorooctahydro-2-hydroxy-1,",295.8
"Acetamide, N-(1-hydroxy-9H-fluoren-2-yl)- (9CI)",240.3
"Acetamide, N-(2-(5-methoxy-1H-indol-3-yl)ethyl)- (9CI)",264
"Acetamide, N-(2-(6-hydroxy-5-methoxy-1H-indol-3-yl)ethyl)- (9CI)",295.3
"Acetamide, N-(2,5-dichlorophenyl)-",163.2
"Acetamide, N-(2-hydroxyethyl)-",176.7
"Acetamide, N-(2-methoxy-4-nitrophenyl)-",201.4
"Acetamide, N-(3-hydroxy-9H-fluoren-2-yl)- (9CI)",250.4
"Acetamide, N-(3-hydroxyphenyl)-",185.2
"Acetamide, N-(4-((4-aminophenyl)sulfonyl)phenyl)- (9CI)",310.3
"Acetamide, N-(4-(2-(2-hydroxy-5-methylphenyl)diazenyl)phenyl)-",276.7
"Acetamide, N-(4-(2-hydroxy-3-((1-methylethyl)amino)propoxy)phenyl)-",252.3
"Acetamide, N-(4-(chloroacetyl)phenyl)-",110
"Acetamide, N-(4'-amino(1,1'-biphenyl)-4-yl)- (9CI)",235.3
"Acetamide, N-(4-bromophenyl)-2-fluoro- (9CI)",174.3
"Acetamide, N-(4-chlorophenyl)-N-hydroxy- (9CI)",149
"Acetamide, N-(4-ethoxyphenol)-",149
"Acetamide, N-(4'-fluoro(1,1'-biphenyl)-4-yl)- (9CI)",205.5
"Acetamide, N-(4-hydroxyphenyl)-",188.4
"Acetamide, N-(5-(bis(2-(acetyloxy)ethyl)amino)-2-((2-bromo-4,6-dinitro",435.6
"Acetamide, N-(5-hydroxy-9H-fluoren-2-yl)-",279.9
"Acetamide, N-(5-nitro-2-thiazolyl)-",137.5
"Acetamide, N-(7-hydroxyfluoren-2-yl)- (8CI)",279.9
"Acetamide, N-(9-oxo-9H-fluoren-2-yl)- (9CI)",217
"Acetamide, N-(aminothioxomethyl)-",80
"Acetamide, N,N'-9H-fluorene-2,7-diylbis- (9CI)",246.9
"Acetamide, N,N-dibutyl-2-fluoro-",118.3
"Acetamide, N,N-diethyl-",69.3
"Acetamide, N-4-pyridinyl- (9CI)",162
"Acetamide, N-9H-fluoren-2-yl-",277.2
"Acetamide, N-9H-fluoren-2-yl-2,2,2-trifluoro- (9CI)",202
"Acetamide, N-9H-fluoren-2-yl-N-hydroxy- (9CI)",229
"Acetamide, N-chloro-N-9H-fluoren-2-yl-",208
"Acetamide, N-ethenyl-N-methyl-",62.9
"Acetamide, N-ethyl-N-vinyl-",72.5
"Acetamide, N-hydroxy- (9CI)",127.6
"Acetamide, N-hydroxy-N-2-naphthalenyl- (9CI)",183.8
"Acetamide, N-hydroxy-N-phenyl-",116.8
"Acetamide, N-methyl-N-phenyl-",93.2
"Acetamide, N-phenyl-",173.9
"Acetamide, N-phenyl-N-vinyl-",112.9
"Acetamide, thio- (VAN) (8CI)",21.4
Acetamide125oC,125
Acetanilide103844,173
Aceticacid64197,39
Aceticanhydride,48.85
Acetone67641,-20
AcetoneCyanohydrin75865,74
Acetonitrile,12.85
Acetophenone98862,77
AcetoxymethylTrimethylSilane20oC,20
AcetoxyTrimethylSilane4oC,4
Acetylchloride75365,4
Acridine172oC,172
Acrolein,-26.15
"Acrylamide, N-(hydroxymethyl)-2-methyl- (6CI,8CI)",139
Acrylicacid79107,54
Acrylonnitrile107131,0
AdipicAcid124049,196
Adiponitrile,158.85
Allylacetate,5.85
Allylalcohol107186,21
Allylamine107119,-29
Allylchloride107051,-32
AllylChloromethylDimethylSilane27oC,27
AllylDimethylChloroSilane5oC,5
AllylDimethylSilane-20oC,-20
AllylIsothiocyanate57067,46.1
AllylMethylDichloroSilane27oC,27
AllyloxytrimethylSilane0oC,0
AllylPhenylDichloroSilane76oC,76
AllylTrichloroSilane31oC,31
AllylTriethoxySilane47oC,47
AllylTrimethoxySilane46oC,46
AllylTrimethylSilane7oC,7
alphaMethylstyrene98839,53.9
AminoethylAminopropylTrimethoxySilane96oC,96
Anethole,89.85
Aniline62533,70
Anthracene120127,121
Anthraquinone84651,185
Aziridine151564,-11.1
Benzaldehyde100527,63
Benzamide,180
"Benzamide, 2,3,5-trichloro-N-(3,5-dichloro-2-hydroxyphenyl)-6-hydroxy-",223.5
"Benzamide, 2,6-dichloro-",115
"Benzamide, 2-ethoxy-",153.7
"Benzamide, 2-hydroxy-",146.3
"Benzamide, 2-hydroxy-N-(4-hydroxyphenyl)- (9CI)",165.9
"Benzamide, 2-hydroxy-N,N-dimethyl- (9CI)",144.3
"Benzamide, 2-hydroxy-N-phenyl-",131.8
"Benzamide, 2-methoxy- (9CI)",155.7
"Benzamide, 2-methyl-",107.6
"Benzamide, 2-methyl-3,5-dinitro-",134
"Benzamide, 2-nitro- (9CI)",146.039
"Benzamide, 3,5-dichloro-N-(3,4-dichlorophenyl)-2-hydroxy-",200.6
"Benzamide, 3,5-dinitro-",144
"Benzamide, 4-amino-5-bromo-N-(2-(diethylamino)ethyl)-2-methoxy- (9CI)",217.3
"Benzamide, 4-amino-5-chloro-N-(2-(diethylamino)ethyl)-2-methoxy- (9CI)",207
"Benzamide, 4-amino-N-(2-(diethylamino)ethyl)- (9CI)",208.9
"Benzamide, 4-methoxy-3-nitro-N-phenyl-",185
"Benzamide, 4-nitro-",176.3
"Benzamide, 5-chloro-N-(2-chloro-4-nitrophenyl)-2-hydroxy-",210.5
"Benzamide, N-((4-(2-(dimethylamino)ethoxy)phenyl)methyl)-3,4,5-trimeth",260.4
"Benzamide, N-(1-methylethyl)-4-((2-methylhydrazino)methyl)- (9CI)",148.9
"Benzamide, N-(5-chloro-9,10-dihydro-9,10-dioxo-1-anthracenyl)-",260
"Benzamide, N,N'-(dithiodi-2,1-phenylene)bis-",250
"Benzamide, N,N'-(iminobis(9,10-dihydro-9,10-dioxo-4,1-anthracenediyl))",172.1
"Benzamide, N,N-diethyl-",125.5
"Benzamide, N,N-diethyl-2-methyl-",139.8
"Benzamide, N,N-diethyl-3-methyl-",155
"Benzamide, N,N-diethyl-4-hydroxy-3-methoxy-",196.6
"Benzamide, N,N-diethyl-4-methyl-",140.8
"Benzamide, N-9H-fluoren-2-yl- (9CI)",245.5
"Benzamide, N-acetyl-2-hydroxy- (9CI)",180.9
"Benzamide, N-butyl-",201.6
"Benzamide, N-hydroxy-",201
"Benzamide, N-methyl-",175.9
"Benzamide, o-amino- (VAN) (8CI)",135.778
"Benzamide, o-chloro- (8CI)",120.1
"Benzamide, p-amino- (8CI)",164.9
"Benzamide, p-chloro- (6CI,7CI,8CI)",129.3
"Benzamide, p-cyano- (8CI)",165.6
Benzamide157oC,157
Benzanthracene235oC,235
Benzene11ethylidenebis129oC,129
Benzene71432,-11
"Benzeneacetamide, alpha-hydroxy-alpha-phenyl- (9CI)",216.6
"Benzeneacetamide, alpha-phenyl- (9CI)",190.3
"Benzeneacetamide, N,N-diethyl- (9CI)",134.3
"Benzeneacetamide, N,N-dimethyl-alpha-phenyl- (9CI)",173.3
"Benzeneacetamide, N-ethyl-alpha-(hydroxymethyl)-N-(4-pyridinylmethyl)-",251.8
Benzenecarbothioamide,120
"Benzenecarbothioamide, 2,6-dichloro- (9CI)",147.7
"Benzenecarboximidamide, N-hydroxy- (9CI)",139.7
"Benzenemethanamide, N-nitroso-N-(phenylmethyl)- (9CI)",208.4
Benzenemethanethiol,69.85
"Benzenesulfonamide, 2-methyl-",53.5
"Benzenesulfonamide, 4-(tetrahydro-2H-1,2-thiazin-2-yl)-, S,S-dioxide",268.4
"Benzenesulfonamide, 4-amino-",196
"Benzenesulfonamide, 4-amino-N-(3,4-dimethyl-5-isoxazolyl)-",245.4
"Benzenesulfonamide, 4-amino-N-(3-methoxypyrazinyl)-",249.3
"Benzenesulfonamide, 4-amino-N-(4,6-dimethyl-2-pyrimidinyl)-",272.1
"Benzenesulfonamide, 4-amino-N-(5,6-dimethoxy-4-pyrimidinyl)-",270
"Benzenesulfonamide, 4-amino-N-(5-methoxy-2-pyridimidinyl)- (9CI)",280
"Benzenesulfonamide, 4-amino-N-(5-methyl-1,3,4-thiadiazol-2-yl)-",259.1
"Benzenesulfonamide, 4-amino-N-(5-methyl-3-isoxazolyl)-",245.4
"Benzenesulfonamide, 4-amino-N-(6-methoxy-4-pyrimidinyl)-",264.2
"Benzenesulfonamide, 4-amino-N-(aminothioxomethyl)- (9CI)",230.4
"Benzenesulfonamide, 4-amino-N,N-diethyl-",181.1
"Benzenesulfonamide, 4-amino-N-2-pyridinyl-",240.2
"Benzenesulfonamide, 4-amino-N-2-quinoxalinyl-",287.1
"Benzenesulfonamide, 4-amino-N-methyl- (9CI)",171
"Benzenesulfonamide, N-(5-(2-methoxyethoxy)-2-pyrimidinyl)-",265.4
"Benzenesulfonamide, N-(5-tert-butyl-1,3,4-thiadiazol-2-yl)-",225.6
"Benzenesulfonamide, N,N-dibutyl-4-chloro-",194
Benzenesulphonamide,144.6
"Benzo(b)thiophene-6-carboximidamide, 2-(4-(aminoiminomethyl)phenyl)-",268.5
Benzofuran,55.85
BenzoicAcid65850,121
Benzonitrile100470,71.7
Benzoylchloride98884,72
Benzylacetate140114,90.6
Benzylalcohol100-51-6,93
Benzylbenzoate120514,148
Benzylbromide,78.85
Benzylchloride100447,67
Benzylcyanide,100.85
BenzylDimethylChloroSilane73oC,73
BenzylDimethylSilane65oC,65
Benzylmethylsulfide,72.85
BenzylTrichloroSilane87oC,87
BenzylTriethoxySilane127oC,127
BenzylTrimethylSilane62oC,62
Bibenzyl,128.85
Bicyclohexyl92513,91.85
Biphenyl,112.85
bis[[chloro(dimethyl)silyl]oxy]-dimethylsilane,53.3
bis[[dimethyl(trimethylsilyloxy)silyl]oxy]-dimethylsilane,117.4
bis22chloroethoxyethylether6385562,121.1
Bis2ethylhexylether10143609,112.8
BischloromethylDimethylSilane46oC,46
bisChloromethylMethylChloroSilane42oC,42
BisChloromethylTetramethylSiloxane73oC,73
BisDiethylaminoDimethylSilane35oC,35
BisDimethylaminoDimethylSilane-7oC,-7
BisDimethylaminoMethylSilane-3oC,-3
BistrimethylsilylCarbodiimide42oC,42
BisTrimethylsilylMethane12oC,12
"Biurea, 2,5-dithio- (VAN) (8CI)",130.1
Bromobenzene108861,51
Bromoethane,-20.15
Bromoform,82.85
bromomethyl(trimethyl)silane,16.1
Bromomethyldimethylchlorosilane41oC,41
BromomethylTrimethylSilane16oC,16
Bromopentafluorobenzene344047,87
Butanal,-7.15
butanamide,87.9
"Butanamide, 2-(2-(2-methoxy-4-nitrophenyl)diazenyl)-N-(2-methoxyphenyl",302.9
"Butanamide, 2,2'-((3,3'-dichloro(1,1'-biphenyl)-4,4'-diyl)bis(2,1-diaz",442
"Butanamide, 2,2'-((3,3'-dichloro(1,1'-biphenyl)-4,4'-diyl)bis(2,1-diaz",442
"Butanamide, 2,2'-((3,3'-dichloro(1,1'-biphenyl)-4,4'-diyl)bis(azo))bis",433.6
"Butanamide, 2,2'-((3,3'-dichloro(1,1'-biphenyl)-4,4'-diyl)bis(azo))bis",433.6
"Butanamide, 2,2'-((3,3'-dichloro(1,1'-diphenyl)-4,4'-diyl)bis(azo))bis",440.9
"Butanamide, 2,4-dihydroxy-N-(3-hydroxypropyl)-3,3-dimethyl-, (theta)-",246.3
"Butanamide, 2-chloro-N,N-dimethyl-3-oxo-",89
"Butanamide, 2-chloro-N-methyl-3-oxo-",125.6
"Butanamide, 3-oxo-N-phenyl-",162
"Butanamide, N-(2,4-dimethylphenyl)-3-oxo-",171
"Butanamide, N-(2-chlorophenyl)-3-oxo-",176
"Butanamide, N-(2-methoxyphenyl)-3-oxo-",157
"Butanamide, N-(2-methylphenyl)-3-oxo-",143
"Butanamide, N-(4-ethoxyphenyl)-3-oxo-",206.8
"Butanamide, N-(4-methoxyphenyl)-3-oxo-",201.7
"Butanamide, N,N-diethyl-3-oxo-",94
"Butanamide, N,N-diethyl-3-oxo-",94
"Butanamide, N,N-dimethyl-3-oxo-",82.4
butyl2propenoat,36.85
Butylacetate123964,24
Butylacrylate141322,38.85
Butylamine109739,-1
Butylbenzene,48.85
Butylchloride109693,-9.4
butyl-chloro-dimethylsilane,30.1
Butylcyanide,39.85
Butylcyclohexane,40.85
ButylDimethylAmine-3oC,-3
Butylethylether628819,4.4
Butylformate592847,18
ButylIsocyanate111364,26.7
ButylIsothiocyanate592825,65.6
ButylIsovalerate109193,53
butylnitrate928450,36.1
Butylpropionate590012,32
ButylptPentylphenylEther,135
Butyltrimethylsilane,8.5
Butylvinylether,-9.15
Butyraldehyde123728,-6.7
Butyricacid107926,77
ButyricAnhydride,86.85
Butyronitrile109740,16.7
Camphor,65.85
CarbamoylGuanidineAmidinoUreaSaltCAS141833flash147,147
Carbonochloridicacidethylester,15.85
Carvacrol,105.85
chloro-(chloromethyl)-dimethylsilane,22
chloro-(dichloromethyl)-dimethylsilane,42.7
chloro-[chloro(dimethyl)silyl]oxy-dimethylsilane,33
Chlorobenzene108907,29
Chlorocyclohexane542187,32
Chlorocyclopentane,14.85
chloro-dimethyl-prop-2-enylsilane,5.6
Chloroethane,-50.15
chloromethyl(trimethyl)silane,-2
ChloromethylBenzene60oC,60
ChloromethylDimethylchlorosilane21oC,21
ChloromethylDimethylEthoxySilane26oC,26
ChloromethylDimethylPhenylSilane53oC,53
chloro-methyl-diphenylsilane,121.9
Chloromethylmethyldichlorosilane20oC,20
ChloromethylMethylDiethoxySilane38oC,38
ChloromethylTriethoxySilane47oC,47
ChloromethylTrimethoxySilane26oC,26
ChloromethylTrimethylSilane-2oC,-2
Chloroprene126998,-20
Cinnamaldehyde,70.85
cisDecalin493016,58
Citronellal,74.85
"Coumarin, 3-chloro-7-hydroxy-4-methyl-, bis(3-chloropropyl) phosphate",487.5
"Coumarin, 3-chloro-7-hydroxy-4-methyl-, bis(3-chloropropyl) phosphate",487.5
CresylDiphenylPhosphate232oC,232
Crotonaldehyde123739,13
"Crotonamide, 3-methyl-",91.2
Crotonicacid,87.85
Cumene98828,36
"Cyanamide, dimethyl-",58.3
Cyclobutane,-65.15
Cyclobutanone,9.85
Cyclobutylamine,-4.15
Cyclodecane,64.85
Cycloheptane,5.85
Cycloheptanol,70.85
Cycloheptanone,84.85
Cyclohexane110827,-20
Cyclohexanecarbonitrile,64.85
Cyclohexanemethylamine,42.85
Cyclohexanesulfonamide,135.1
Cyclohexanethiol,42.85
Cyclohexanol108930,68
Cyclohexanone108941,44
"Cyclohexasiloxane, dodecamethyl-",124.4
Cyclohexene,-20.15
CyclohexeneOxide,23.85
Cyclohexyl phenyl phosphate ((C6H11O)(PhO)2PO) (7CI),214.9
CyclohexylAcetate622457,58
Cyclohexylamine,26.85
CyclohexylBenzene99oC,99
CyclohexylDimethylSilane63oC,63
CyclohexylIsocyanate3173533,48.9
CyclohexylMethylDichloroSilane66oC,66
CyclohexylMethylDimethoxySilane66oC,66
CyclohexylTrichloroSilane91oC,91
Cyclooctane,27.85
CyclopentadienylTrimethylSilane29oC,29
CyclopentamethyleneDimethylSilane30oC,30
Cyclopentane287923,-37
Cyclopentanethiol,24.85
Cyclopentanol96413,51
Cyclopentanone120923,26
Cyclopentene,-0.15
CyclopentenyloxyTrimethylSilane38oC,38
Cyclopentylamine,11.85
CyclopentylDichloroSilane43oC,43
CyclopentylTrichloroSilane77oC,77
Cyclopropane,-95.15
Cyclopropanecarbonitrile5500210,32.8
cyclopropanecarboxamide,104.1
Cyclopropylamine,-25.15
CyclotetramethyleneDimethylSilane15oC,15
"Cyclotetrasiloxane, 2,4,6,8-tetraethenyl-2,4,6,8-tetramethyl-",94.3
"Cyclotetrasiloxane, octamethyl-",63.2
"Cyclotetrasiloxane, octaphenyl-",200
CyclotrimethyleneDimethylSilane-5oC,-5
"Cyclotrisiloxane, 2,4,6-trimethyl-2,4,6-tris(3,3,3-trifluoropropyl)-",107.1
DecamethylCyclopentasiloxane77oC,77
DecamethylTetraSiloxane62oC,62
Decanal,84.85
Decane124185,48
DecylAcetate104oC,104
decylalcohol,108
Decylamine2016571,99
DecylBenzene107oC,107
Diallylphthalate131179,165.6
DiallylSulfide592881,46.1
Dibenzylether103504,135
Dibutoxymethane2568903,60
Dibutylamine111922,40
Dibutyldisulfide629458,93.3
Dibutylether142961,25
Dibutylphtalate,170.85
Dibutylsebacate109433,166.85
Dibutylsulfide544401,76.7
Dibutylsulfone598049,143
dichloro-(chloromethyl)-methylsilane,35
dichloro(diphenyl)silane,155
DichloroAcetaldehyde60oC,60
DichloroAceticAcid110oC,110
Dichloroacetylchloride79367,66.1
dichloro-ethyl-methylsilane,5
DichloromethylBenzene80oC,80
DichloromethylMethylDichloroSilane28oC,28
dichloro-methyl-prop-2-enylsilane,18.3
DichloroSilane-37oC,-37
Diethanolamine,136.85
diethoxy-methyl-phenylsilane,114.6
diethoxy-methyl-prop-2-enylsilane,42.5
Diethylamine109897,-23
DiethylaminoTrimethylSilane10oC,10
DiethylCarbonate,24.85
Diethylcyanamide,68.85
DiethylDichloroSilane27oC,27
DiethylDiethoxySilane43oC,43
DiethylDisulfide,39.85
DiethyleneGlycol111464,124
DiethyleneGlycolDibutylEther,116.85
DiethyleneGlycolDimethylEther,50.85
Diethylenetriamine111400,98
Diethylether60297,-45
DiethylFumarate,90.85
DiethylGlutarate,95.85
DiethylMethylChloroSilane15oC,15
DiethylPhosphate91oC,91
Diethylphthalate,159.85
DiethylSilane-20oC,-20
DiethylSulfate,103.85
Diethylsulfide352932,-9.4
Dihexylether112583,77
Dihydro25furandione151oC,151
Diisobutylamine110963,29
Diisobutylketone,48.85
Diisopropylamine108189,-1
DiisopropylaminoTrimethylSilane28oC,28
DiisopropylEther,-28.15
Diketene,32.85
Dimethoxymethane109875,-18.15
Dimethylamine,-18.15
Dimethylcarbonate,17.85
DimethylChloroSilane-25oC,-25
DimethylDiacetoxySilane37oC,37
Dimethyldichlorosilane-10oC,-10
DimethylDiethoxySilane11oC,11
DimethylDimethoxySilane-8oC,-8
DimethylDisulfide,23.85
Dimethylether115106,-41
Dimethylnitrosamine,60.85
DimethylolUrea232,232
Dimethylphtalate131113,146
Dimethylsulfide75183,-36
DimethylSulfoxide,87.85
DimethylUrea157oC,157
DimethylVinylChloroSilane-5oC,-5
DioctylAmine110oC,110
Dipentene138863,45
Dipentylamine2050922,51
Dipentylether,56.85
Diphenyl92524,113
Diphenylamine122394,152.8
DiphenylChloroSilane105oC,105
DiphenylDichloroSilane157oC,157
DiphenylDiethoxySilane175oC,175
DiphenylDimethoxySilane121oC,121
Diphenylether101848,115
Diphenylmethane,126.85
DiphenylMethylChloroSilane141oC,141
DiphenylMethylEthoxySilane165oC,165
DiphenylMethylSilane120oC,120
DiphenylSilane98oC,98
Dipropylamine142847,17
Dipropylether111433,21.1
DipropylSulfone598038,126
"Disilane, hexamethyl-",5.8
"Disiloxane, 1,1,1,3,3,3-hexamethyl-",7.7
"Disiloxane, 1,3-diethenyl-1,1,3,3-tetramethyl-",24
DitbutylMethylChloroSilane69oC,69
Ditertbutyldisulfide,66.85
Ditertbutylperoxide,11.85
Ditertbutylsulfide107471,48
DivinylDimethylSilane8oC,8
DodecamethylCyclohexasiloxane93oC,93
DodecamethylPentasiloxane79oC,79
"Dodecanamide, N-(2-hydroxyethyl)-",202.2
"Dodecanamide, N,N-diethyl-",114.3
Dodecane112403,71
DodecylBenzene141oC,141
dValerolactone,99.85
Eicosane,168.85
Ethane,-135.15
Ethanediamide,112.7
"Ethanediamide, N,N'-dimethyl-N,N'-dinitroso- (9CI)",92.9
Ethanedithioamide,106.2
Ethanethiol75081,-17
"Ethanol, 2,2,2-trichloro-, dihydrogen phosphate",148.1
"Ethanol, 2-butoxy-, phosphate (3:1)",241.5
"Ethanol, 2-chloro-, phosphate (3:1)",232.2
"Ethanol, 2-chloro-, phosphate (3:1)",232.2
ethanol64175,13
Ethenylacetate,-8.15
EthenylBenzene32oC,32
Ethenylcyclohexane,21.85
ethenyl-diethoxy-methylsilane,17.8
ethenyl-tri(propan-2-yloxy)silane,86.6
ethoxy(trimethyl)silane,-18
ethoxy(triphenyl)silane,163.5
EthoxyBenzene52oC,52
EthoxymethylBenzene59oC,59
EthoxyTrimethylSilane-27oC,-27
ethyl(trimethoxy)silane,24.2
ethyl(trimethoxy)silane,24.2
Ethyl2trimethylsilylAcetate35oC,35
ethyl3oxobutanoat,69.85
Ethylacetate141786,-3
Ethylacetoacetate141979,57.2
Ethylacetylglycolate623869,82
Ethylacrylate140885,15.6
Ethylal,-5.15
Ethylamine,-17.15
Ethylbenzene100410,15
Ethylbenzoate93890,88
Ethylbromoacetate105362,47.8
Ethylbutyrate105544,24
Ethylchloride75003,-43
Ethylchloroacetate,52.85
EthylChloroformate541413,16
ethylcrotonate623701,2.2
Ethylcyanoacetate105566,110
ethylcyclohexane1678917,35
Ethylcyclopentane,14.85
Ethyldichlorosilane-9oC,-9
EthylDimethylChloroSilane-4oC,-4
EthylDimethylSilane-25oC,-25
EthyleneCarbonate,149.85
EthyleneGlycolDiacetate111557,88.3
EthyleneUreaCAS120934flash202,202
Ethylformate109944,-20
EthylIsobutyrate97621,12.85
Ethyllactate97643,46
Ethylmethyldichlorosilane2oC,2
Ethylmethylether540670,-37.2
Ethylnitrate625581,10
Ethyloethoxycarbonylbenzeyloxyacetate84720,185
Ethylpropionate105373,12
EthylPropylEther,-20.15
EthylSilane-60oC,-60
EthylTriacetoxySilane104oC,104
Ethyltrichlorosilane27oC,27
EthylTriethoxySilane40oC,40
EthylTrimethoxySilane27oC,27
EthylTrimethylSilane27oC,27
Ethylvinylether109922,-18
Ethynylbenzene31oC,31
Fluorobenzene462066,-15
Fluorocyclohexane,4.85
Forchlorfenuron140,140
Formamide,175
"Formamide, 1,1'-azobis-",126
"Formamide, N-((4-amino-2-methyl-5-pyrimidinyl)methyl)-N-(4-hydroxy-1-m",348.3
"Formamide, N-(4-bromophenyl)- (9CI)",156
"Formamide, N-(4-chlorophenyl)- (9CI)",144.2
"Formamide, N,N'-(dithiobis(2-(2-hydroxyethyl)-1-methylvinylene))bis(N-",493.5
"Formamide, N,N-diethyl-",60
"Formamide, N,N-di-n-butyl-",100
"Formamide, N-9H-fluoren-2-yl- (9CI)",269.6
"Formamide, N-phenyl-",150.2
Formicacid,68.85
Furan,-35.15
Furfural,59.85
Furfurylacetate623176,85
Furfurylalcohol,64.85
gammaButyrolactone,97.85
gammaValerolactone,80.85
Glycerol,183.85
"Guanidine, 1-(2-hydroxyethyl)-1-methyl-, dihydrogen phosphate (ester)",186.1
Heptadecane629787,148
HeptadecylBenzene199oC,199
HeptamethylDisilazane27oC,27
HeptamethylTrisiloxane23oC,23
Heptanal,40.85
Heptane142825,-1
Heptanenitrile,57.85
Heptanoicacid111148,112
HeptylAcetate67oC,67
Heptylbenzene,94.85
Hexachlorobenzene242oC,242
Hexadecamethylheptasiloxane133oC,133
Hexadecane544763,135
HexadecylBenzene193oC,193
HexaethylDisiloxane76oC,76
HexafluoroBenzene10oC,10
Hexahydro2Hazepin2one152oC,152
HexamethylBenzene114oC,114
HexamethylCycloTrisiloxane32oC,32
HexamethylDisilane-1oC,-1
HexamethylDisilaThiane26oC,26
HexamethylDisilazane8oC,8
HexamethylDisiloxane-3oC,-3
Hexamethyleneimine111499,17.85
HexamethylTrisiloxane20oC,20
Hexanal,31.85
Hexanamide,102.224
"Hexanamide, 2,3-epoxy-2-ethyl-",145.8
"Hexanamide, 2,3-epoxy-2-ethyl-",145.8
hexane110543,-23
Hexanenitrile628739,43
Hexanoicacid142621,104
Hexylacetate142927,45
Hexylalcohol,59.85
Hexylamine111262,8.9
Hexylbenzene80oC,80
HexylDichloroSilane64oC,64
HexylSilane12oC,12
HexylTrifluoroSilane-7oC,-7
HexylTrimethoxySilane62oC,62
Hydrazinecarbothioamide,80
"Hydrazinecarbothioamide, 1-formyl- (9CI)",91.5
"Hydrazinecarbothioamide, 2-(1-methylethylidene)-",83.1
"Hydrazinecarbothioamide, 2,2'-(1-(1-ethoxyethyl)-1,2-ethanediylidene)b",207.6
"Hydrazinecarboxamide, 2-((5-nitro-2-furanyl)methylene)-",2
Hydroquinone,164.85
hydroxyacetaldehyde87oC,87
Hydroxyacetonitrile115oC,115
"Imidodicarbonimidic diamide, N-(2-methylphenyl)-",202.6
"Imidodicarbonimidic diamide, N-(2-phenylethyl)-",204
"Imidodicarbonimidic diamide, N-phenyl-",188.7
Inosine 5'-(trihydrogen pyrophosphate),513.3
Inosine 5'-(trihydrogen pyrophosphate),513.3
Inosine 5'-monophosphate,468.7
Iodobenzene591504,74
Isobutenal78853,-0.15
Isobutene,-76.15
Isobutylacetate110190,18
Isobutylalcohol78831,28
Isobutylamine78819,-9
Isobutylbenzene538932,55
IsobutylButyrate539902,50
Isobutylformate542552,9.85
Isobutylisobutyrate97858,39.85
IsobutylTrichloroSilane37oC,37
IsobutylTrimethoxySilane42oC,42
Isobutylvinylether109535,-9
Isobutyraldehyde78842,-18.3
Isobutyricacid79312,55.6
Isobutyronitrile78820,7.85
